,name,id,stage,year
199,Princess Superstar,7JQn9DfFTtsFTg2dFc75jM,Coachella Stage,2002
200,Vin Rock,7AewIRoLzZqVPf3tbgO9Zq,Coachella Stage,2002
201,Cake,6A43Djmhbe9100UwnI7epV,Outdoor Theatre,2002
202,The Beta Band,2LMR8u7DOMF0FBseDpTsRa,Outdoor Theatre,2002
203,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Outdoor Theatre,2002
204,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Coachella Stage,2003
205,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Coachella Stage,2014
206,The Charlatans,5fScAXreYFnuqwOgBsJgSd,Outdoor Theatre,2002
207,Cornershop,3Kf7VEIRWquxrNIuyJZnfF,Outdoor Theatre,2002
208,Folk Implosion,6DM1YETeVIN3ce24DhnMhU,Outdoor Theatre,2002
209,Citizen Cope,7enBrBojgBJuPPdqTq4Z5F,Outdoor Theatre,2002
210,Saul Williams,11K0HIZKfdB6ez0VhIgxPm,Outdoor Theatre,2002
211,Saul Williams,11K0HIZKfdB6ez0VhIgxPm,Coachella Stage,2004
212,Saul Williams,11K0HIZKfdB6ez0VhIgxPm,Gobi Tent,2004
213,The  Noise Conspiracy,0ZcJYGAQ2R3w7BWzbDDGDx,Mojave Tent,2002
214,The  Noise Conspiracy,0ZcJYGAQ2R3w7BWzbDDGDx,Coachella Stage,2004
215,The Vines,7vkiEK5D7Gf0z4M1Va0CXD,Mojave Tent,2002
216,Dan the Automator,4fv5w0LJib9OMbXQegqZ01,Mojave Tent,2002
217,Kosheen,5squ8uM6fhMQY71t9xobJC,Mojave Tent,2002
218,The Pharcyde,7yk35uHNQclPXFGFoTU44w,Mojave Tent,2002
219,Forest for the Trees,6W8whSfhlf8gFQp7NTGfT8,Mojave Tent,2002
220,Cirrus,4li9sXjlbIAeIJ9kW5cyOV,Mojave Tent,2002
221,Liquid Todd,20a7iq8UVWB82arsmrJHFf,Mojave Tent,2002
222,Liquid Todd,20a7iq8UVWB82arsmrJHFf,Sahara Tent,2002
223,Groove Armada,67tgMwUfnmqzYsNAtnP6YJ,Sahara Tent,2002
224,Groove Armada,67tgMwUfnmqzYsNAtnP6YJ,Mojave Tent,2003
225,Groove Armada,67tgMwUfnmqzYsNAtnP6YJ,Sahara Tent,2009
